epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,856.174,1.03107,1.06944,1.21217,0.80058,0.7485,0.79057,0.57633,1.12058,1.80237,0.97212,0.00182972,0.00182972,0.00182972
45,876.441,0.95498,0.88513,1.16476,0.8788,0.67797,0.79256,0.60409,1.04086,3.31263,0.93925,0.00182576,0.00182576,0.00182576
46,895.71,0.94175,0.89664,1.14839,0.7755,0.70265,0.78119,0.59023,0.97495,3.44072,0.9288,0.0018218,0.0018218,0.0018218
47,915.041,0.97326,0.84884,1.17191,0.79399,0.64407,0.72745,0.56622,0.98228,4.72565,0.91538,0.00181784,0.00181784,0.00181784
48,934.038,0.87606,0.77908,1.09134,0.78388,0.66102,0.70893,0.57239,0.95069,5.16079,0.88049,0.00181388,0.00181388,0.00181388
49,952.819,0.96195,0.92622,1.1449,0.87394,0.58763,0.65999,0.52691,0.97002,6.40475,0.90718,0.00180992,0.00180992,0.00180992
50,972.043,0.83756,0.83329,1.11245,0.89428,0.7169,0.82825,0.62062,1.02741,1.17622,0.91503,0.00180596,0.00180596,0.00180596
51,991.088,1.10344,1.13545,1.23342,0.84177,0.72142,0.81396,0.60046,1.05659,1.42233,0.92022,0.001802,0.001802,0.001802
52,1010.28,0.89097,0.89639,1.12131,0.81334,0.66474,0.75766,0.52709,1.21877,1.50388,1.00388,0.00179804,0.00179804,0.00179804
53,1029.68,0.89303,0.91069,1.12867,0.82009,0.66102,0.75039,0.53405,1.15403,1.39798,0.97315,0.00179408,0.00179408,0.00179408
54,1048.78,0.86696,0.83306,1.11976,0.84402,0.64407,0.75354,0.58152,1.05613,1.84859,0.93568,0.00179012,0.00179012,0.00179012
55,1068.07,0.86442,0.85162,1.11266,0.79297,0.71416,0.75332,0.58273,0.98488,2.27577,0.89888,0.00178616,0.00178616,0.00178616
56,1088.86,0.78163,0.7227,1.06854,0.90137,0.77458,0.84991,0.62428,1.03901,1.87445,0.91938,0.0017822,0.0017822,0.0017822
57,1107.74,0.9488,0.97883,1.16607,0.92272,0.74576,0.83996,0.66184,0.96393,1.87237,0.86467,0.00177824,0.00177824,0.00177824
58,1127.79,0.84419,0.83052,1.09432,0.86152,0.71186,0.80053,0.63425,0.97508,2.29046,0.87183,0.00177428,0.00177428,0.00177428
59,1146.78,0.94305,0.85069,1.20881,0.94058,0.74576,0.84784,0.66815,0.93743,1.7471,0.85394,0.00177032,0.00177032,0.00177032
60,1167.12,0.90438,1.01801,1.12908,0.85031,0.72881,0.77579,0.59871,0.97586,1.62645,0.92711,0.00176636,0.00176636,0.00176636
61,1186.57,0.92497,0.82334,1.1346,0.83566,0.61017,0.67979,0.52226,1.07481,1.56434,0.9756,0.0017624,0.0017624,0.0017624
62,1206.23,0.91388,0.86023,1.15691,0.87364,0.64407,0.79834,0.6332,0.9406,2.68106,0.86592,0.00175844,0.00175844,0.00175844
63,1225.43,0.83907,0.84496,1.11865,0.94014,0.67797,0.79604,0.62047,1.02904,3.22055,0.89191,0.00175448,0.00175448,0.00175448
64,1244.43,0.95991,0.91123,1.11388,0.89727,0.69492,0.76224,0.61081,0.99704,2.63089,0.91203,0.00175052,0.00175052,0.00175052
