epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7237.45,0.24211,0.26169,0.21123,0.75616,0.98789,0.99522,0.99361,0.98512,0.98789,0.99522,0.99361,0.90854,0.15846,0.19461,0.1367,0.57683,0.00116492,0.00116492,0.00116492
30,7479.08,0.23519,0.25951,0.21848,0.76972,0.99297,0.98917,0.99222,0.9822,0.99297,0.98917,0.99222,0.90925,0.1666,0.17118,0.14255,0.57719,0.00115549,0.00115549,0.00115549
31,7717.08,0.23,0.24687,0.21749,0.73151,0.99189,0.9984,0.99021,0.98407,0.99189,0.9984,0.99021,0.9178,0.14615,0.1783,0.13203,0.57509,0.00114606,0.00114606,0.00114606
32,7954.58,0.23517,0.23484,0.25277,0.73923,0.98919,0.99854,0.99251,0.98673,0.98919,0.99854,0.99251,0.90879,0.16301,0.1763,0.12949,0.57843,0.00113663,0.00113663,0.00113663
33,8200.68,0.25101,0.24418,0.22012,0.75154,0.99112,0.9975,0.99076,0.97264,0.99112,0.9975,0.99076,0.9034,0.1851,0.18237,0.13139,0.57868,0.0011272,0.0011272,0.0011272
34,8449.08,0.24384,0.24629,0.20224,0.74663,0.99113,0.9975,0.9912,0.98659,0.99113,0.9975,0.9912,0.92082,0.14393,0.17799,0.11917,0.57442,0.00111776,0.00111776,0.00111776
35,8692.85,0.23154,0.23351,0.20853,0.75952,0.99254,0.99723,0.99306,0.98047,0.99254,0.99723,0.99306,0.9126,0.16632,0.21085,0.12252,0.57844,0.00110833,0.00110833,0.00110833
36,8940.11,0.25761,0.25762,0.20606,0.7525,0.99174,0.99671,0.99341,0.9879,0.99174,0.99671,0.99341,0.92859,0.14143,0.16976,0.12349,0.57397,0.0010989,0.0010989,0.0010989
37,9189.18,0.24285,0.25978,0.19494,0.74963,0.99436,0.99562,0.99274,0.98875,0.99436,0.99562,0.99274,0.90957,0.14218,0.18605,0.11743,0.57349,0.00108947,0.00108947,0.00108947
38,9437.61,0.23442,0.24651,0.20956,0.74312,0.99277,0.9925,0.99249,0.9876,0.99277,0.9925,0.99249,0.90538,0.16144,0.1666,0.13951,0.57728,0.00108004,0.00108004,0.00108004
39,9681.9,0.23851,0.24802,0.20544,0.74831,0.99133,0.99667,0.99322,0.98651,0.99133,0.99667,0.99322,0.91079,0.15843,0.19988,0.1219,0.5762,0.00107061,0.00107061,0.00107061
40,9933.27,0.23367,0.24624,0.21436,0.75719,0.98888,0.99604,0.9927,0.98239,0.98888,0.99604,0.9927,0.89924,0.17536,0.17876,0.13815,0.57849,0.00106118,0.00106118,0.00106118
41,10190.8,0.23055,0.2419,0.1879,0.73851,0.99098,0.99604,0.99285,0.98477,0.99098,0.99604,0.99285,0.90637,0.14576,0.18511,0.12539,0.57455,0.00105174,0.00105174,0.00105174
42,10442.9,0.23915,0.25869,0.20994,0.73976,0.99152,0.99833,0.99193,0.97764,0.99152,0.99833,0.99193,0.91024,0.17852,0.20939,0.13121,0.57915,0.00104231,0.00104231,0.00104231
43,10696.8,0.23347,0.26455,0.22719,0.75318,0.98399,0.99604,0.99047,0.98512,0.98399,0.99604,0.99047,0.89396,0.1576,0.18869,0.18055,0.5758,0.00103288,0.00103288,0.00103288
44,10949.8,0.23697,0.23876,0.23363,0.75082,0.99148,0.99349,0.9915,0.98397,0.99148,0.99349,0.9915,0.90671,0.15472,0.18542,0.13851,0.57548,0.00102345,0.00102345,0.00102345
45,11202.1,0.22083,0.23616,0.19611,0.73731,0.9902,0.9975,0.9916,0.98621,0.9902,0.9975,0.9916,0.91069,0.14435,0.17565,0.11469,0.57552,0.00101402,0.00101402,0.00101402
46,11454.4,0.23206,0.24357,0.20206,0.76042,0.98986,0.9975,0.99258,0.9849,0.98986,0.9975,0.99258,0.9021,0.15129,0.18972,0.12102,0.57541,0.00100459,0.00100459,0.00100459
47,11704.5,0.23351,0.24931,0.19826,0.74138,0.99076,0.9975,0.99255,0.98553,0.99076,0.9975,0.99255,0.91022,0.16525,0.17427,0.1229,0.57752,0.000995156,0.000995156,0.000995156
48,11958.6,0.22123,0.22696,0.20178,0.73654,0.99114,0.99789,0.99337,0.98663,0.99114,0.99789,0.99337,0.90835,0.1451,0.18278,0.11913,0.57389,0.000985724,0.000985724,0.000985724
49,12210,0.20655,0.23009,0.19061,0.73332,0.99107,0.9975,0.99283,0.98725,0.99107,0.9975,0.99283,0.91915,0.14395,0.18935,0.12107,0.57353,0.000976293,0.000976293,0.000976293
50,12459.9,0.20418,0.21734,0.18175,0.74422,0.99436,0.99542,0.99388,0.98967,0.99436,0.99542,0.99388,0.92091,0.13354,0.17611,0.10713,0.5729,0.000966861,0.000966861,0.000966861
51,12715.7,0.22049,0.23425,0.21078,0.75031,0.99274,0.99609,0.99339,0.98528,0.99274,0.99609,0.99339,0.92544,0.1675,0.18118,0.1211,0.57683,0.00095743,0.00095743,0.00095743
52,12966.4,0.23073,0.24525,0.21261,0.74643,0.98888,0.99738,0.99303,0.99096,0.98888,0.99738,0.99303,0.92392,0.13433,0.16258,0.11461,0.57253,0.000947999,0.000947999,0.000947999
53,13223,0.22263,0.23503,0.20651,0.74245,0.99359,0.99604,0.99389,0.99,0.99359,0.99604,0.99389,0.91298,0.13453,0.17543,0.12046,0.57316,0.000938567,0.000938567,0.000938567
54,13467.2,0.22017,0.2338,0.19761,0.75263,0.99268,0.9975,0.993,0.99039,0.99268,0.9975,0.993,0.91808,0.12923,0.15911,0.1209,0.57178,0.000929136,0.000929136,0.000929136
55,13714.1,0.2001,0.22839,0.17741,0.73154,0.99356,0.99457,0.99356,0.99127,0.99356,0.99457,0.99356,0.92254,0.12761,0.15936,0.10714,0.57111,0.000919704,0.000919704,0.000919704
56,13965.8,0.21325,0.22413,0.1881,0.74271,0.99261,0.99882,0.99396,0.98964,0.99261,0.99882,0.99396,0.92655,0.13523,0.16981,0.11452,0.57271,0.000910273,0.000910273,0.000910273
57,14219.7,0.21295,0.22965,0.19305,0.73441,0.99207,0.99604,0.99343,0.98567,0.99207,0.99604,0.99343,0.9214,0.14983,0.17936,0.11806,0.57524,0.000900842,0.000900842,0.000900842
58,14471.5,0.22006,0.23581,0.21359,0.7451,0.99483,0.99589,0.9933,0.98963,0.99483,0.99589,0.9933,0.90944,0.13531,0.17154,0.12049,0.57369,0.00089141,0.00089141,0.00089141
59,14724.8,0.20898,0.22095,0.21584,0.74251,0.99008,0.9984,0.99051,0.9872,0.99008,0.9984,0.99051,0.90948,0.13862,0.1568,0.10887,0.573,0.000881979,0.000881979,0.000881979
60,14974.2,0.21044,0.22686,0.20059,0.7372,0.99029,0.99747,0.99421,0.98791,0.99029,0.99747,0.99421,0.92196,0.15404,0.18233,0.1331,0.57443,0.000872547,0.000872547,0.000872547
61,15218.4,0.20527,0.22843,0.20485,0.72728,0.99172,0.99755,0.99294,0.98602,0.99172,0.99755,0.99294,0.92007,0.15365,0.16767,0.11072,0.57447,0.000863116,0.000863116,0.000863116
62,15457.9,0.21295,0.23165,0.19271,0.74092,0.9909,0.99649,0.99303,0.98747,0.9909,0.99649,0.99303,0.90727,0.14756,0.1724,0.11018,0.57405,0.000853685,0.000853685,0.000853685
63,15703.1,0.19657,0.21816,0.21426,0.75299,0.99477,0.99812,0.9932,0.9894,0.99477,0.99812,0.9932,0.92032,0.12939,0.16204,0.10565,0.57216,0.000844253,0.000844253,0.000844253
64,15953,0.20918,0.22387,0.19055,0.73467,0.99325,0.99521,0.99379,0.99115,0.99325,0.99521,0.99379,0.91773,0.1214,0.15516,0.10409,0.57114,0.000834822,0.000834822,0.000834822
65,16205.4,0.20613,0.22175,0.18638,0.73667,0.994,0.9955,0.99345,0.98978,0.994,0.9955,0.99345,0.90567,0.12367,0.16286,0.1156,0.57116,0.00082539,0.00082539,0.00082539
