epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8314,0.62514,2.54651,0.97623,0.72744,0.83051,0.7977,0.69066,0.98694,50.5507,0.78943,8e-05,8e-05,8e-05
2,187.898,0.60543,1.32593,0.89209,0.82043,0.77966,0.83157,0.71276,0.94018,26.6955,0.80549,0.000179822,0.000179822,0.000179822
3,284.992,0.70047,1.00926,0.93298,0.81704,0.75694,0.73613,0.57568,1.02783,22.1983,0.84019,0.000279446,0.000279446,0.000279446
