epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.6093,0.68518,0.76081,0.92487,0.87858,0.77966,0.85686,0.71002,0.96351,14.3637,0.86392,8e-05,8e-05,8e-05
2,172.882,0.73977,0.75481,0.97816,0.76176,0.70458,0.67956,0.54315,1.09034,6.93006,0.79748,0.000179822,0.000179822,0.000179822
3,258.71,0.76157,0.86942,0.98169,0.0704,0.42373,0.06391,0.04596,1.15095,57.0727,0.8421,0.000279446,0.000279446,0.000279446
4,360.163,0.72443,0.79859,0.99011,0.0596,0.42373,0.04097,0.0329,1.12736,62.7262,1.05122,0.000378871,0.000378871,0.000378871
