epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.153,0.49913,2.73935,0.79967,0.96102,0.98227,0.97779,0.8962,0.3104,6.02602,0.60008,0.000475322,0.000475322,0.000475322
2,273.988,0.46436,1.91844,0.80347,0.97228,0.97973,0.98787,0.90753,0.29541,4.73326,0.60383,0.000945374,0.000945374,0.000945374
3,401.03,0.512,1.84247,0.80001,0.97052,0.98745,0.98693,0.917,0.29146,3.80374,0.59613,0.00140914,0.00140914,0.00140914
4,545.059,0.48072,1.47453,0.80864,0.9818,0.99229,0.99129,0.93718,0.2596,2.89698,0.59934,0.00140071,0.00140071,0.00140071
5,635.557,0.42954,1.12076,0.78413,0.97732,0.9848,0.98611,0.93502,0.26441,2.24521,0.60272,0.00139127,0.00139127,0.00139127
