epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5372.96,0.28319,0.21474,0.76707,0.99878,0.99765,0.99499,0.98708,0.14812,0.14047,0.70088,0.0011684,0.0011684,0.0011684
44,5496.7,0.28289,0.2288,0.77597,0.99877,0.99765,0.99499,0.98629,0.1741,0.12276,0.70415,0.0011486,0.0011486,0.0011486
45,5619.91,0.26136,0.20273,0.7699,0.99762,1,0.995,0.98858,0.16775,0.12481,0.70277,0.0011288,0.0011288,0.0011288
46,5743.31,0.26705,0.21266,0.7665,0.99648,0.9997,0.995,0.98625,0.16827,0.14392,0.70291,0.001109,0.001109,0.001109
47,5868.21,0.26236,0.21391,0.76218,0.99765,0.99962,0.995,0.98552,0.16834,0.13859,0.70095,0.0010892,0.0010892,0.0010892
48,5992.37,0.26175,0.19042,0.76796,0.9985,1,0.995,0.98851,0.15416,0.1299,0.70286,0.0010694,0.0010694,0.0010694
49,6120.79,0.26401,0.19512,0.77371,0.99765,0.9996,0.995,0.99165,0.14685,0.10976,0.70116,0.0010496,0.0010496,0.0010496
50,6247.07,0.25854,0.19331,0.75318,0.99765,0.99986,0.99469,0.98659,0.16838,0.14028,0.70332,0.0010298,0.0010298,0.0010298
51,6372.32,0.27199,0.2066,0.76716,0.99749,0.99647,0.995,0.9901,0.15344,0.14517,0.70148,0.00101,0.00101,0.00101
52,6495.91,0.25765,0.19134,0.75808,0.99882,0.99988,0.99499,0.9906,0.13465,0.13263,0.69991,0.0009902,0.0009902,0.0009902
53,6626.7,0.2542,0.19144,0.76399,0.99882,0.99878,0.995,0.99019,0.14384,0.11464,0.70054,0.0009704,0.0009704,0.0009704
54,6753.8,0.25306,0.18509,0.77237,0.99882,0.99993,0.995,0.98975,0.14659,0.1188,0.70111,0.0009506,0.0009506,0.0009506
55,6875.47,0.25058,0.21574,0.77564,0.99671,0.99882,0.99491,0.98651,0.15463,0.11863,0.70231,0.0009308,0.0009308,0.0009308
56,6985.45,0.24936,0.18357,0.76544,0.99641,0.99882,0.99493,0.98701,0.15885,0.11928,0.70243,0.000911,0.000911,0.000911
57,7094.74,0.23972,0.1739,0.76188,0.99765,0.99992,0.99499,0.98795,0.13332,0.09877,0.69885,0.0008912,0.0008912,0.0008912
58,7203.76,0.23639,0.17596,0.75158,0.99765,0.99974,0.99499,0.98784,0.1712,0.13222,0.70257,0.0008714,0.0008714,0.0008714
59,7312.76,0.23704,0.17294,0.76214,0.99874,0.99882,0.99496,0.98602,0.1538,0.12325,0.70171,0.0008516,0.0008516,0.0008516
60,7421.73,0.22302,0.17509,0.75844,0.99643,1,0.99428,0.98763,0.15886,0.12748,0.70098,0.0008318,0.0008318,0.0008318
61,7530.93,0.23071,0.17348,0.76335,0.99532,0.99999,0.99462,0.98929,0.14307,0.11232,0.69907,0.000812,0.000812,0.000812
62,7639.68,0.22991,0.17282,0.75646,0.99648,0.99917,0.99463,0.98785,0.14097,0.11804,0.69963,0.0007922,0.0007922,0.0007922
63,7748.63,0.2276,0.16723,0.76006,0.99727,0.99882,0.99475,0.98932,0.1422,0.11895,0.69908,0.0007724,0.0007724,0.0007724
64,7857.89,0.23014,0.16504,0.7667,0.99875,1,0.99402,0.9871,0.13487,0.10138,0.69914,0.0007526,0.0007526,0.0007526
65,7966.83,0.22354,0.16915,0.76105,0.9964,1,0.99407,0.98854,0.13117,0.10986,0.69881,0.0007328,0.0007328,0.0007328
66,8075.72,0.22146,0.18683,0.76182,0.99882,0.99976,0.99493,0.98678,0.13513,0.12224,0.69871,0.000713,0.000713,0.000713
67,8184.67,0.22212,0.18932,0.76337,0.99882,0.99875,0.99491,0.98725,0.14017,0.1199,0.69911,0.0006932,0.0006932,0.0006932
68,8293.57,0.21838,0.17407,0.76505,0.99765,0.99983,0.99499,0.98987,0.13281,0.10555,0.69909,0.0006734,0.0006734,0.0006734
69,8402.36,0.21063,0.16842,0.75115,0.99882,0.99762,0.995,0.98865,0.14097,0.12196,0.6991,0.0006536,0.0006536,0.0006536
70,8511.14,0.21217,0.15957,0.75318,0.99882,0.99867,0.99434,0.99032,0.12505,0.10067,0.69823,0.0006338,0.0006338,0.0006338
71,8620.65,0.22409,0.15811,0.7684,0.99641,1,0.99498,0.98808,0.1381,0.11181,0.69813,0.000614,0.000614,0.000614
72,8738.62,0.21492,0.1806,0.75077,0.99863,0.99647,0.99395,0.98599,0.13869,0.10816,0.69928,0.0005942,0.0005942,0.0005942
73,8855.5,0.20535,0.16888,0.75628,0.99882,0.99868,0.99422,0.98939,0.12813,0.1028,0.69739,0.0005744,0.0005744,0.0005744
