epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,121.979,0.56695,1.25583,0.98096,1,0.97339,0.995,0.91113,0.51646,2.24223,0.73796,0.000493898,0.000493898,0.000493898
45,124.696,0.64951,1.03158,0.92107,1,0.96607,0.995,0.90972,0.49435,2.2582,0.73532,0.000496672,0.000496672,0.000496672
46,127.364,0.53333,1.02626,0.9355,1,0.96607,0.995,0.90972,0.49435,2.2582,0.73532,0.00049905,0.00049905,0.00049905
47,130.133,0.41805,1.02706,0.89421,1,0.85831,0.995,0.90894,0.50239,2.2791,0.73748,0.000501032,0.000501032,0.000501032
48,132.881,0.47744,0.9106,0.85049,1,0.85831,0.995,0.90894,0.50239,2.2791,0.73748,0.000502618,0.000502618,0.000502618
49,135.613,0.56961,1.10169,0.94761,1,0.73541,0.995,0.8912,0.51661,2.32247,0.73609,0.000503808,0.000503808,0.000503808
50,138.343,0.47067,0.98225,0.90555,1,0.73541,0.995,0.8912,0.51661,2.32247,0.73609,0.000504602,0.000504602,0.000504602
51,141.117,0.58777,0.91274,0.93721,1,0.76115,0.995,0.92072,0.51976,2.31103,0.73711,0.000505,0.000505,0.000505
52,143.936,0.48104,0.87695,0.86865,1,0.76115,0.995,0.92072,0.51976,2.31103,0.73711,0.000505002,0.000505002,0.000505002
53,146.714,0.5496,1.12787,0.93399,1,0.76115,0.995,0.92072,0.51976,2.31103,0.73711,0.000504608,0.000504608,0.000504608
54,149.47,0.41806,0.83502,0.81279,1,0.95049,0.995,0.89997,0.49693,2.26462,0.72869,0.000503818,0.000503818,0.000503818
55,152.107,0.50605,1.03674,0.8981,1,0.95049,0.995,0.89997,0.49693,2.26462,0.72869,0.000502632,0.000502632,0.000502632
56,154.897,0.43049,0.90749,0.87356,1,0.95049,0.995,0.89997,0.49693,2.26462,0.72869,0.00050105,0.00050105,0.00050105
57,157.618,0.55949,0.94308,0.90849,1,0.93128,0.995,0.92667,0.43706,2.2306,0.71334,0.000499072,0.000499072,0.000499072
58,160.353,0.43268,0.79732,0.82243,1,0.93128,0.995,0.92667,0.43706,2.2306,0.71334,0.000496698,0.000496698,0.000496698
59,163.086,0.4775,0.92223,0.89172,1,0.93128,0.995,0.92667,0.43706,2.2306,0.71334,0.000493928,0.000493928,0.000493928
60,165.833,0.45933,0.95034,0.85978,1,0.92058,0.995,0.91468,0.38965,2.20007,0.69904,0.000490762,0.000490762,0.000490762
61,168.489,0.43541,0.8211,0.8469,1,0.92058,0.995,0.91468,0.38965,2.20007,0.69904,0.0004872,0.0004872,0.0004872
62,171.141,0.48435,0.80434,0.80738,1,0.92058,0.995,0.91468,0.38965,2.20007,0.69904,0.000483242,0.000483242,0.000483242
63,173.886,0.44872,0.87492,0.86451,1,0.90304,0.995,0.90926,0.41943,2.1836,0.70379,0.000478888,0.000478888,0.000478888
64,176.606,0.5136,0.95442,0.94615,1,0.90304,0.995,0.90926,0.41943,2.1836,0.70379,0.000474138,0.000474138,0.000474138
65,179.347,0.44918,0.91254,0.87488,1,0.90304,0.995,0.90926,0.41943,2.1836,0.70379,0.000468992,0.000468992,0.000468992
66,182.062,0.45529,0.82256,0.85792,1,0.89323,0.995,0.91014,0.44037,2.16161,0.70152,0.00046345,0.00046345,0.00046345
