epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0351,0.96714,9.44803,1.29315,0.38831,0.3228,0.24085,0.19088,1.3829,105.376,0.9096,8e-05,8e-05,8e-05
2,103.121,0.65308,5.22598,0.98781,0.76224,0.76271,0.75496,0.63497,1.24037,91.7307,0.83628,0.00014436,0.00014436,0.00014436
3,153.601,0.6308,3.35222,0.91487,0.84103,0.83051,0.8718,0.73408,1.14069,86.8119,0.81349,0.00016912,0.00016912,0.00016912
4,200.352,0.60857,2.55117,0.87249,0.95857,0.78436,0.87119,0.74439,1.15636,67.0275,0.81934,0.00015428,0.00015428,0.00015428
5,250.539,0.61336,1.88924,0.902,0.94965,0.86441,0.88363,0.76447,1.16152,44.4054,0.81948,9.984e-05,9.984e-05,9.984e-05
