epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,7040.26,0.33464,0.33641,0.28769,0.77513,0.98334,0.99646,0.99047,0.95862,0.98334,0.99646,0.99047,0.90009,0.20836,0.2378,0.18104,0.58844,0.00123094,0.00123094,0.00123094
30,7274.63,0.31831,0.32503,0.31193,0.78482,0.99167,0.99046,0.99353,0.96511,0.99167,0.99046,0.99353,0.89632,0.23028,0.22191,0.17649,0.59096,0.00122387,0.00122387,0.00122387
31,7507.83,0.30829,0.31298,0.27592,0.74578,0.98644,0.99375,0.98992,0.96909,0.98644,0.99375,0.98992,0.89711,0.1823,0.21025,0.20256,0.5827,0.00121679,0.00121679,0.00121679
32,7741.6,0.30125,0.30546,0.30379,0.7498,0.98564,0.99667,0.99226,0.97891,0.98564,0.99667,0.99226,0.9118,0.19334,0.20981,0.17382,0.58422,0.00120972,0.00120972,0.00120972
33,7976.89,0.32728,0.31371,0.26511,0.76484,0.99236,0.99229,0.9898,0.96197,0.99236,0.99229,0.9898,0.89046,0.20412,0.21658,0.17117,0.58471,0.00120265,0.00120265,0.00120265
34,8210.52,0.32624,0.31265,0.29523,0.76158,0.98731,0.99148,0.9886,0.97299,0.98731,0.99148,0.9886,0.90674,0.18553,0.22075,0.18374,0.58273,0.00119557,0.00119557,0.00119557
35,8444.14,0.30828,0.28867,0.29619,0.77281,0.99148,0.98984,0.989,0.96975,0.99148,0.98984,0.989,0.89913,0.19849,0.22898,0.17037,0.58539,0.0011885,0.0011885,0.0011885
36,8677.96,0.31299,0.30827,0.25729,0.7641,0.99168,0.98879,0.98938,0.9615,0.99168,0.98879,0.98938,0.89114,0.20704,0.25323,0.17232,0.58708,0.00118143,0.00118143,0.00118143
37,9009.79,0.29642,0.35418,0.24912,0.76334,0.99043,0.99091,0.98996,0.96295,0.99043,0.99091,0.98996,0.90611,0.19748,0.22287,0.15687,0.58493,0.00117435,0.00117435,0.00117435
38,9246.79,0.30533,0.31514,0.26674,0.7551,0.93654,0.88796,0.9304,0.87642,0.93654,0.88796,0.9304,0.82801,0.26691,0.31337,0.45769,0.6131,0.00116728,0.00116728,0.00116728
39,9483.79,0.30176,0.31918,0.2638,0.75969,0.986,0.99771,0.99099,0.96665,0.986,0.99771,0.99099,0.90055,0.19039,0.21341,0.16692,0.58345,0.00116021,0.00116021,0.00116021
40,9720.73,0.28899,0.31104,0.26775,0.7673,0.9842,0.99425,0.98984,0.93984,0.9842,0.99425,0.98984,0.87656,0.23872,0.26567,0.1795,0.59553,0.00115313,0.00115313,0.00115313
41,9958.43,0.2801,0.2979,0.25794,0.74722,0.98611,0.99794,0.9933,0.94611,0.98611,0.99794,0.9933,0.89718,0.21734,0.26884,0.15978,0.5899,0.00114606,0.00114606,0.00114606
42,10196,0.298,0.31989,0.26304,0.75312,0.98905,0.99824,0.99172,0.97669,0.98905,0.99824,0.99172,0.91816,0.18033,0.20917,0.1857,0.5805,0.00113898,0.00113898,0.00113898
43,10434.1,0.28565,0.30415,0.25524,0.76181,0.99192,0.99521,0.99241,0.9491,0.99192,0.99521,0.99241,0.88271,0.22655,0.26254,0.1575,0.59285,0.00113191,0.00113191,0.00113191
44,10671.4,0.28707,0.2885,0.2661,0.75941,0.98895,0.99491,0.99299,0.96339,0.98895,0.99491,0.99299,0.9133,0.20257,0.24618,0.1474,0.58638,0.00112484,0.00112484,0.00112484
45,10984.2,0.26886,0.28797,0.23804,0.74552,0.99232,0.99369,0.991,0.98223,0.99232,0.99369,0.991,0.91717,0.16256,0.19425,0.14893,0.57907,0.00111776,0.00111776,0.00111776
46,11227.9,0.27328,0.29089,0.24165,0.76772,0.99089,0.99375,0.99279,0.98066,0.99089,0.99375,0.99279,0.89591,0.16394,0.22246,0.16905,0.57817,0.00111069,0.00111069,0.00111069
47,11468.8,0.27467,0.30594,0.24779,0.75038,0.98873,0.99388,0.99291,0.92872,0.98873,0.99388,0.99291,0.87883,0.26982,0.29361,0.17215,0.59717,0.00110362,0.00110362,0.00110362
48,11703.6,0.27185,0.28185,0.24826,0.74666,0.98796,0.99654,0.99135,0.98049,0.98796,0.99654,0.99135,0.91078,0.16913,0.20686,0.14977,0.57895,0.00109654,0.00109654,0.00109654
49,11938.2,0.26275,0.28527,0.23671,0.74172,0.99134,0.99286,0.99242,0.98342,0.99134,0.99286,0.99242,0.90584,0.16632,0.23582,0.14903,0.57941,0.00108947,0.00108947,0.00108947
50,12172.9,0.26231,0.2682,0.22021,0.75294,0.98964,0.99325,0.99224,0.97959,0.98964,0.99325,0.99224,0.89505,0.17544,0.21512,0.14141,0.58132,0.0010824,0.0010824,0.0010824
51,12406.9,0.25222,0.27392,0.2404,0.75534,0.99303,0.99313,0.99046,0.97517,0.99303,0.99313,0.99046,0.91277,0.17351,0.20118,0.13781,0.57975,0.00107532,0.00107532,0.00107532
